Ref. Publication date [year:mm:dd],Substrate,Electrode,TL1-front,TL2-front,TL3-front,,TL4-back,TL5-back,TL6-back,TL7-back,Electrode2,Cell. Area. Measured [cm^2],Cell. Architecture [nip/pin/ É],Module [TRUE/FALSE],Perovskite. Composition. A-ions [Ion.1; Ion.2; É | Ion.3; É | ...],Perovskite. Composition. B-ions [Ion.1; Ion.2; É | Ion.3; É | ...],Perovskite. Composition. C-ions [Ion.1; Ion.2; É | Ion.3; É | ...],Perovskite. Composition. C-ions. Coefficients [Cof.1; Cof.2; É | Cof.3; É | ...],Perovskite. Additives. Compounds [Addt.1; Addt.2; ... | Addt.3; É | Addt.4 | ... ],Perovskite. Band gap [Eg.1 | Eg.2 | ...] [eV],Perovskite. Deposition. Number of deposition steps,Perovskite. Deposition. Procedure [Proc. 1 >> Proc. 2 >> ... | Proc. 3 >> É | Proc. 4 | ... ],Perovskite. Deposition. Solvents [Sol.1; Sol.2 >> Sol.3; ... >> ... | Sol.4 >> É | Sol.5 | ... ],Perovskite. Deposition. Solvents. Mixing ratios [V1; V2 >> V3; V4 >> ... | V5; V6 >> É | 1 | ... ],Perovskite. Deposition. Quenching media [Sol.1; Sol.2; É],Encapsulation [TRUE/FALSE],Encapsulation. Stack sequence [Mat.1; Mat.2; ... | Mat.3; ... | Mat.4 | ...],Encapsulation. Edge sealing materials [Mat.1; Mat.2; ... ],JV. Reverse scan. PCE [%] ,JV. Forward scan. PCE [%] ,Stability. Measured [TRUE/FALSE],Stability. Protocol [ISOS x/IEC x/ É] ,Stability. Light source. Type [Dark/White LED/Metal halide/ ...],Stability. Light. UV filter [TRUE/FALSE],Stability. Potential bias. Load condition [Open circuit/MPPT/Constant potential/ É],Stability. Temperature. Range [T.min; T.max] or [T.constant] [deg. C],Stability. Atmosphere [Gas1; Gas2; ...],Stability. Relative humidity. Average value [%],Stability. Time. Total exposure [h],Stability. PCE. Burn in observed [TRUE/FALSE],Stability. PCE. End of experiment [% of initial PCE],Stability. PCE. T80 [h],Stability. PCE. Ts80 [h],Stability. PCE. After 1000 h [% of initial PCE]
2018-05-09 00:00:00,SLG , FTO , TiO2-c , TiO2-mp ,, Perovskite , P3HT ,,,, Au,0.1,nip-mp,FALSE,FA; MA,Pb,Br; I,0.45; 2.55,,1.59,1,Spin-coating,DMF; DMSO,4; 1,Ethyl acetate,FALSE,Unknown,Unknown,14.3,,TRUE,ISOS-D-1,Dark,FALSE,Open circuit,25.0; 25.0,Air,25,8400,TRUE,80,8400,,80
2018-11-28 00:00:00,SLG , ITO , P3HT ,,, Perovskite , PCBM-60 ,,,, Ag,0.09,pin,FALSE,MA,Pb,I,3,exMMT,1.6,1,Spin-coating,DMF; DMSO,4; 1,Diethyl ether,FALSE,Unknown,Unknown,17.29,,TRUE,ISOS-L-1,Light,FALSE,MPPT,25.0; 25.0,Air,50,200,FALSE,88,6709,,
2019-08-02 00:00:00,SLG , FTO , SnO2-c , Al2O3-mp ,, Perovskite , Spiro-MeOTAD ,,,, Au,0.17,nip,FALSE,MA,Pb,I,3,Cl,1.6,1,Spin-coating,DMF,1,Unknown,FALSE,Unknown,Unknown,17.14,,TRUE,ISOS-D-1,Dark,FALSE,Open circuit,30.0; 30.0,Air,45,6000,FALSE,80,6000,,
2016-08-18 00:00:00,SLG , ITO , PEDOT:PSS ,,, Perovskite , PCBM-60 ,,,, Ag,0.12,pin,FALSE,MA,Pb,I,3,,1.6,2,Spin-coating >> Spin-coating,DMF >> IPA,1 >> 1,Unknown,TRUE,Al2O3 | PET,Unknown,,,TRUE,ISOS-D-2,Dark,FALSE,Open circuit,65.0; 65.0,Ambient,,5500,FALSE,80,5500,,
2018-07-03 00:00:00,SLG , FTO , TiO2-c , TiO2-mp ,, Perovskite , Spiro-MeOTAD ,,,, Au,0.1,nip-mp,FALSE,FA; MA,Pb,Br; I,0.45; 2.55,Undoped,1.6,1,Spin-coating,DMF; DMSO,,Chlorobenzene,FALSE,Unknown,Unknown,12.6,,TRUE,ISOS-D-1,Dark,FALSE,Open circuit,25.0; 25.0,Air,50,5400,FALSE,80,5400,,
2018-07-03 00:00:00,SLG , FTO , TiO2-c , TiO2-mp ,, Perovskite , Spiro-MeOTAD ,,,, Au,0.1,nip-mp,FALSE,FA; MA,Pb,Br; I,0.45; 2.55,Undoped,1.6,1,Spin-coating,DMF; DMSO,,Chlorobenzene,FALSE,Unknown,Unknown,14.05,,TRUE,ISOS-D-1,Dark,FALSE,Open circuit,25.0; 25.0,Air,50,5400,FALSE,80,5400,,
2018-07-03 00:00:00,SLG , FTO , TiO2-c , TiO2-mp ,, Perovskite , Spiro-MeOTAD ,,,, Au,0.1,nip-mp,FALSE,FA; MA,Pb,Br; I,0.45; 2.55,Undoped,1.6,1,Spin-coating,DMF; DMSO,,Chlorobenzene,FALSE,Unknown,Unknown,12.24,,TRUE,ISOS-D-1,Dark,FALSE,Open circuit,25.0; 25.0,Air,50,5400,FALSE,80,5400,,
2018-07-03 00:00:00,SLG , FTO , TiO2-c , TiO2-mp ,, Perovskite , Spiro-MeOTAD ,,,, Au,0.1,nip-mp,FALSE,FA; MA,Pb,Br; I,0.45; 2.55,Undoped,1.6,1,Spin-coating,DMF; DMSO,,Chlorobenzene,FALSE,Unknown,Unknown,12.19,,TRUE,ISOS-D-1,Dark,FALSE,Open circuit,25.0; 25.0,Air,50,5400,FALSE,80,5400,,
2016-11-10,SLG , ITO , Graphene oxide ,,, Perovskite , PCBM-60 , BCP ,,, Ag,0.046,pin,FALSE,MA,Pb,I,3,Undoped,nan,1,Spin-coating,DMF,1,Unknown,FALSE,Unknown,Unknown,,9.7,TRUE,ISOS-D-1,Dark,FALSE,Open circuit,nan; nan,Unknown,,8600,FALSE,60,5000,,97
2019-11-29 00:00:00,SLG , FTO , SrTiO3 , TiO2-mp ,, Perovskite , Spiro-MeOTAD ,,,, Au,0.16,nip-mp,FALSE,MA,Pb,I,3,Ag; Cl; rGO,1.6,1,Spin-coating,DMF,1,Unknown,FALSE,Unknown,Unknown,18.03,,TRUE,ISOS-D-1,Dark,FALSE,Open circuit,30.0; 30.0,Air,50,7200,FALSE,70,4200,,98
